date,vpos,content,command,type,word
1174316533,7696,問題はこの後だ,,,
1174316682,10776,これ誰？,,,
1174316710,13270,これは無理矢理合成か,,,
1174328852,8607,おぉいいね,,,
1174328886,11982,かわいい,,,
1174348406,21065,高画質版→sm5998,,,
1174361396,7735,嫁？！,,,
1174361411,8378,ちゅるやさん,,,
1174361422,9493,俺の嫁！！,,,
1174446590,2137,ワロスｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,big green,nan,nan
1174446700,13124,すごｗｗｗｗｗｗｗｗｗｗｗ,big green,nan,nan
1174446708,13923,でたｗｗ,big green,nan,nan
1174446746,17714,すごすｗｗｗｗｗｗｗｗｗｗｗｗｗ,big green,nan,nan
1174447588,13612,最強じゃんこれｗｗｗｗｗｗｗｗ,,,
1174447622,19712,編集神棚ｗ,,,
1174447647,14644,進みますか　帰りましょうか,shita red,nan,nan
1174447679,17860,きた～～～～～～,shita red,nan,nan
1174451402,3640,これがニコニコで見れるとは思わなかった,big green,nan,nan
1174451425,6039,後半ｗｋｔｋ,big green,nan,nan
1174451461,9596,鶴屋さーーーーーーーーーーん,big green,nan,nan
1174451530,16500,ピーマン,big green,nan,nan
1174451539,17387,くるぞ,big green,nan,nan
1174454419,11815,俺の嫁,,,
1174455910,21039,これは神動画,shita,nan,nan
1174459184,18455,みくる可愛いよみくる(*´д｀*)ﾊｧﾊｧ,,,
1174461399,6497,断る,shita,nan,nan
1174477703,15838,あたしコーラ～～!,big green,nan,nan
1174507454,20794,ん～マンダムｗｗｗ,,,
1174524236,20545,すげえ,,,
1174549317,5376,もじぴったん思い出す,big green,nan,nan
1174549364,10096,いぇーい,big green,nan,nan
1174549368,10491,でたｗｗｗ,big green,nan,nan
1174549381,11847,喜緑さぁあああああああああああん♪,big green,nan,nan
1174549414,15101,戻りましょうか？,big green,nan,nan
1174549441,15321,リ・ス・クでぇ～す,big green,nan,nan
1174549452,16374,私ソーダ,big green,nan,nan
1174549469,18051,ええ,big green,nan,nan
1174549476,18756,いぇ～い♪,big green,nan,nan
1174558732,6847,うまいな,,,
1174558875,21086,すげええええええええ,,,
1174560069,8022,キョンかわいいｗ,,,
1174560078,8913,おおいｗｗｗ,,,
1174560085,9563,かわいい,,,
1174560095,10574,ブルマ,,,
1174560106,11690,ｗｗｗｗｗｗ,,,
1174560118,12889,いいねえ,big green,nan,nan
1174560132,14274,歌うめえええええ,big green,nan,nan
1174560148,15916,ｗｗｗｗｗｗｗｗ,big green,nan,nan
1174560159,17021,キョーン！！,big green,nan,nan
1174560174,18537,かわいいｗ,big green,nan,nan
1174560193,20347,つよいｗｗｗｗｗｗ,big green,nan,nan
1174560214,815,２回目.+（´^ω^`）+.,,,
1174560223,1742,もうすぐ２００！！,,,
1174560234,2842,この動画は神,,,
1174560247,4125,かわいいよｗ,,,
1174560256,5036,もじぴったん思い出す,,,
1174560272,6646,１０コメ了解,red,nan,nan
1174560282,7641,神.+（´^ω^`）+.,red,nan,nan
1174560287,8165,２００ゲトヽ( ^ω^)ノ,red,nan,nan
1174560349,17411,(*´д｀*)ﾊｧﾊｧ,,,
1174560572,3736,いいね,shita,nan,nan
1174560793,14171,いいーーーーー,shita,nan,nan
1174560868,8258,ｗｗｗ,shita,nan,nan
1174560972,18638,ｗｗｗｗｗｗ,shita,nan,nan
1174560995,20941,いい,shita,nan,nan
1174561110,2549,長門－－－－☆☆☆☆,,,
1174561156,1839,ｗｗｗｗ,,,
1174574179,9456,編集いいね,,,
1174608854,8691,ん？,,,
1174608926,15869,こええぇ,,,
1174631553,16222,はさみーーー♪,,,
1174648161,7630,おｋ,,,
1174648175,9012,楽しみだｗ,,,
1174648181,9550,にょろー,,,
1174648194,10841,神ｷﾀ━━━━━━(ﾟ∀ﾟ)━━━━━━!!!!,,,
1174648202,11672,ｗｗｗ,,,
1174648289,20336,GJ,,,
1174651446,17964,ここで鳥肌,shita,nan,nan
1174672914,20280,アンチコメントがないってのが凄い,,,
1174674104,14852,最近携帯とかで流行りの「全部入り」ってやつかああああｗｗｗｗｗｗｗ,,,
1174700530,15943,すげぇｗｗｗｗｗ,,,
1174703411,178,これにコメントしてるヤツはにわかオタ,big shita blue,nan,nan
1174712268,7320,古泉ぃぃぃぃ,,,
1174712306,9586,めがっさめがっさ,,,
1174712314,10117,朝倉さん！,,,
1174712322,10637,あっさくっらさん１,,,
1174712332,11361,キョン妹ｗｗｗ,,,
1174712363,14002,あっさくっらさん,,,
1174712372,14665,ざんねうｗ,,,
1174712381,15449,おいｗキョン妹はどうしたｗ,,,
1174712384,15732,ここかｗ,,,
1174714116,4822,LOVE☆LOVE,green shita,nan,nan
1174714193,8318,ハマるわなぁ・・・,green,nan,nan
1174714235,9423,めがっすわぁぁぁ〜〜〜,big green,nan,nan
1174717835,20396,編集　ネ申!!,,,
1174723140,18006,感動した,,,
1174727039,2403,ﾜﾛｗｗｗｗｗ,,,
1174727413,16345,やべぇ・・・キョン妹がはじめて萌えたｗｗｗ,,,
1174728844,4639,全然ずれてないじゃないかｗｗｗｗｗ,,,
1174729041,2458,再生数いつの間にか伸びすぎｗｗｗｗ,,,
1174729419,10761,ハレ晴レはもうこれしか聞けないなｗｗｗ,,,
1174766563,3255,再生しなおすのにいちいちF5押してるのかよ・・・最低のキチガイだな,,,
1174767725,10420,委員長～～～～！！,red shita big,nan,nan
1174767763,13837,委員長,red shita big,nan,nan
1174773024,10052,ちゅるやさんが一番だろ？,,,
1174773051,12419,てへ☆,,,
1174777137,7246,１０コメか,,,
1174777151,9010,え,,,
1174777160,9874,かわぁああああああああああぅぃ,,,
1174787347,901,つえｗ,,,
1174787506,15640,オタはこれ聞いてトキメクのか、、でもリアルではトキメけ無いんだ,,,
1174787542,19199,想像で遊んでな,,,
1174787549,19903,がき,,,
1174793215,3370,あれ？,,,
1174793275,9326,これはすげえな,,,
1174793341,15977,いもうとｗｗｗｗｗｗ,,,
1174793653,6439,ノ,,,
1174793655,6646,ノ２,,,
1174793656,6770,ノ３,,,
1174793660,7020,ノ４,,,
1174793661,7214,ノ５,,,
1174793753,5705,萌えええええええええええ,red,nan,nan
1174796186,1863,今日もきますた,,,
1174796355,18740,受験乙,big green,nan,nan
1174818877,3623,みくる,,,
1174818953,9033,鶴屋さん,,,
1174818981,10705,朝倉,,,
1174818987,5833,これは,,,
1174819136,20796,ネ申,,,
1174819210,6758,ネ申。,big green,nan,nan
1174825634,21086,本当に素人編集なのか？,,,
1174827242,7455,神だな,,,
1174827251,8357,いいねー,,,
1174827267,9903,すげー！！！ｗ,,,
1174827279,10896,切り替えうますぎｗ,,,
1174827301,13385,でもメロディ違うのもあるしな、どうするんだろｗ,,,
1174827316,14817,これ作った人天才！,,,
1174827350,18244,かっこいい！,,,
1174827361,19297,かわいいｗ,,,
1174827378,21005,乙！,,,
1174831040,11230,びゅーんコケタｗｗｗｗｗ,,,
1174831151,16413,そーせーせきハサミ貸してｗｗｗｗｗｗ,,,
1174831299,10948,夏子,,,
1174831422,20998,男がいないからここまで来た,,,
1174832726,15949,　　　　　　　タワシコーナー,big blue shita,nan,nan
1174833359,12865,wwwwwwwwwwwwww,big green,nan,nan
1174833439,20922,ハイクオリティ,big green,nan,nan
1174836372,10162,八重歯,,,
1174836426,15613,てぃひ☆,,,
1174836438,16794,おきて,,,
1174836467,19456,長門！！！！,,,
1174836480,20992,かみ,,,
1174837192,14481,うま,,,
1174837258,21034,神,,,
1174841178,234,おまえもなｗ,shita,nan,nan
1174841267,8357,ここからが神,shita,nan,nan
1174841283,9947,繋げ方がうめぇｗ,,,
